,batter,batsman_run
113,VR Iyer,552
114,LS Livingstone,549
115,YBK Jaiswal,547
116,CJ Anderson,538
117,SN Khan,532
118,RS Bopara,531
119,JP Faulkner,527
120,AK Markram,527
121,R Parag,522
122,M Manhas,514
123,Gurkeerat Singh,511
124,OA Shah,506
125,PC Valthaty,505
126,SW Billings,503
127,MR Marsh,476
128,DT Christian,460
129,NLTC Perera,424
130,SA Asnodkar,423
131,JR Hopes,417
132,J Botha,409
133,LR Shukla,405
134,RM Patidar,404
135,AL Menaria,401
136,Tilak Varma,397
137,MV Boucher,394
138,CA Pujara,390
139,Azhar Mahmood,388
140,PJ Cummins,379
141,DB Ravi Teja,375
142,S Sohal,368
143,P Negi,365
144,A Mishra,362
145,R Bhatia,342
146,P Kumar,340
147,AP Tare,339
148,SM Curran,337
149,JJ Roy,329
150,JEC Franklin,327
151,RN ten Doeschate,326
152,Washington Sundar,318
153,KV Sharma,317
154,Rashid Khan,313
155,R Vinay Kumar,310
156,DB Das,304
157,C de Grandhomme,303
158,LA Pomersbach,302
159,UBT Chand,300
160,DJG Sammy,295
161,SP Goswami,293
162,Y Nagar,285
163,GH Vihari,284
164,VVS Laxman,282
165,B Chipli,280
166,A Ashish Reddy,280
167,Shahbaz Ahmed,279
168,MJ Lumb,278
169,MJ Guptill,271
170,M Shahrukh Khan,270
171,R Sathish,270
172,MK Lomror,267
173,M Kaif,259
174,DP Conway,252
175,PK Garg,251
176,RK Singh,251
177,R Powell,250
178,JO Holder,247
179,B Kumar,241
180,SM Katich,241
181,BCJ Cutting,238
182,MD Mishra,237
183,JM Sharma,234
184,HV Patel,230
185,Lalit Yadav,229
186,Abdul Samad,228
187,K Goel,218
188,AA Jhunjhunwala,217
189,PBB Rajapaksa,206
190,CA Ingram,205
191,TM Head,205
192,PD Collingwood,203
193,KS Bharat,199
194,SK Warne,198
195,SP Fleming,196
196,JC Archer,195
197,AS Raut,194
198,Salman Butt,193
199,BJ Rohrer,193
200,YV Takawale,192
201,R Dhawan,190
202,Bipul Sharma,187
203,TH David,187
204,K Rabada,186
205,Mohammad Nabi,186
206,K Gowtham,186
207,FY Fazal,183
208,CR Brathwaite,181
209,AC Voges,181
210,S Gopal,180
211,AB Agarkar,179
212,MS Wade,179
213,MF Maharoof,177
214,C Munro,177
215,UT Yadav,177
216,SN Thakur,173
217,DH Yagnik,170
218,CM Gautam,169
219,MN van Wyk,167
220,DW Steyn,167
221,MG Johnson,167
222,JD Unadkat,164
223,PA Reddy,164
224,D Brevis,161
225,A Badoni,161
226,MN Samuels,161
227,RE van der Merwe,159
228,R McLaren,159
229,AD Hales,148
230,SM Pollock,147
231,B Sai Sudharsan,145
232,S Vidyut,145
233,Sachin Baby,144
234,N Saini,140
235,S Anirudha,136
236,SB Styris,131
237,W Jaffer,130
238,Anuj Rawat,129
239,Kamran Akmal,128
240,P Dogra,127
241,D Wiese,127
242,UT Khawaja,127
243,TK Curran,127
244,M Morkel,126
245,MC Juneja,125
246,BB Samantray,125
247,B Lee,124
248,AB McDonald,123
249,MM Sharma,122
250,NK Patel,121
251,DL Vettori,121
252,TG Southee,120
253,AC Blizzard,120
254,RJ Harris,117
255,Z Khan,117
256,Misbah-ul-Haq,117
257,KK Cooper,116
258,DJM Short,115
259,M Kartik,113
260,DJ Harris,111
261,RD Chahar,108
262,A Manohar,108
263,LJ Wright,106
264,Harpreet Brar,106
265,SE Rutherford,106
266,JDP Oram,106
267,Kuldeep Yadav,105
268,DS Kulkarni,104
269,RJ Quiney,103
270,SD Chitnis,99
271,MS Gony,99
272,MJ Clarke,98
273,CJ Ferguson,98
274,Mohammed Siraj,96
275,MA Starc,96
276,PR Shah,92
277,JDS Neesham,92
278,DJ Jacobs,92
279,RT Ponting,91
280,AJ Tye,91
281,S Rana,91
282,AD Nath,90
283,Iqbal Abdulla,88
284,SL Malinga,88
285,Ankit Sharma,87
286,AP Majumdar,87
287,MJ McClenaghan,85
288,RE Levi,83
289,NM Coulter-Nile,82
290,Shahid Afridi,81
291,WPUJC Vaas,81
292,LA Carseldine,81
293,AD Mascarenhas,79
294,DL Chahar,79
295,JR Philippe,78
296,CR Woakes,78
297,B Akhil,76
298,IR Jaggi,76
299,TR Birt,75
300,CJ Jordan,75
301,M Klinger,73
302,N Jagadeesan,73
303,RR Sarwan,73
304,J Suchith,70
305,Mohammed Shami,69
306,AA Bilakhia,69
307,Shashank Singh,69
308,LH Ferguson,67
309,RR Powar,67
310,SS Prabhudessai,67
311,H Klaasen,66
312,R Sharma,66
313,KA Jamieson,65
314,P Simran Singh,64
315,Mohammad Hafeez,64
316,WD Parnell,63
317,Anirudh Singh,63
318,A Flintoff,62
319,SP Jackson,61
320,S Aravind,59
321,R Shepherd,58
322,WA Mota,56
323,JJ Bumrah,56
324,M Rawat,55
325,I Sharma,55
326,MJ Santner,54
327,A Chopra,53
328,RR Rossouw,53
329,TA Boult,53
330,Sandeep Sharma,52
331,RP Singh,52
332,Shoaib Malik,52
333,R Rampaul,51
334,OF Smith,51
335,Shivam Mavi,51
336,KB Arun Karthik,51
337,RV Gomez,50
338,VR Aaron,50
339,AG Paunikar,49
340,AS Yadav,49
341,SB Bangar,49
342,Yashpal Singh,47
343,Ramandeep Singh,45
344,D Pretorius,44
345,DR Sams,44
346,Sunny Singh,43
347,HR Shokeen,43
348,PVD Chameera,43
349,SK Trivedi,42
350,AB Barath,42
351,A Nehra,41
352,LPC Silva,40
353,BR Dunk,40
354,J Yadav,40
355,DJ Thornely,39
356,Umar Gul,39
357,AUK Pathan,39
358,MM Patel,39
359,PWH de Silva,39
360,S Nadeem,39
361,S Narwal,37
362,YS Chahal,37
363,Joginder Sharma,36
364,KW Richardson,36
365,Sohail Tanvir,36
366,L Balaji,36
367,AN Ahmed,36
368,Anureet Singh,36
369,A Kumble,35
370,B Sumanth,35
371,M Ashwin,35
372,A Mithun,34
373,L Ronchi,34
374,S Sreesanth,34
375,AP Dole,34
376,DJ Mitchell,33
377,Navdeep Saini,33
378,D Salunkhe,33
379,Imran Tahir,33
380,AT Carey,32
381,RJ Peterson,32
382,Basil Thampi,32
383,Avesh Khan,31
384,NS Naik,31
385,T Taibu,31
386,S Sriram,31
387,RV Patel,31
388,Anmolpreet Singh,29
389,VH Zol,29
390,J Syed Mohammad,29
391,SB Jakati,28
392,M Markande,27
393,NL McCullum,26
394,TL Seifert,26
395,DJ Malan,26
396,PJ Sangwan,26
397,GD Phillips,26
398,JM Kemp,26
399,AS Rajpoot,26
400,AB Dinda,26
401,A Choudhary,25
402,S Chanderpaul,25
403,KC Cariappa,24
404,CV Varun,24
405,ER Dwivedi,24
406,MA Khote,24
407,BMAJ Mendis,23
408,Arshdeep Singh,23
409,SW Tait,23
410,AF Milne,23
411,J Arunkumar,23
412,Mohsin Khan,23
413,HE van der Dussen,22
414,SA Abbott,22
415,GB Hogg,22
416,KL Nagarkoti,22
417,TU Deshpande,21
418,B Indrajith,21
419,DE Bollinger,21
420,NJ Maddinson,20
421,S Kaul,20
422,AC Thomas,20
423,Harpreet Singh,20
424,RR Raje,20
425,AS Joseph,20
426,M Muralitharan,20
427,P Ray Barman,19
428,P Sahu,19
429,R Shukla,19
430,Y Gnaneswara Rao,19
431,R Bishnoi,19
432,DR Martyn,19
433,A Mukund,19
434,Vishnu Vinod,19
435,PV Tambe,18
436,JJ van der Wath,18
437,DJ Willey,18
438,BJ Haddin,18
439,T Banton,18
440,Harmeet Singh,18
441,JR Hazlewood,18
442,NT Ellis,18
443,KMA Paul,18
444,DS Lehmann,18
445,Parvez Rasool,17
446,C Sakariya,16
447,PP Ojha,16
448,CK Kapugedera,16
449,Virat Singh,15
450,C Madan,15
451,SD Lad,15
452,JL Pattinson,15
453,GR Napier,15
454,I Udana,15
455,VY Mahesh,15
456,JA Richardson,15
457,MDKJ Perera,14
458,F Behardien,14
459,FA Allen,14
460,KJ Abbott,13
461,DT Patil,13
462,Kartik Tyagi,13
463,DR Shorey,13
464,S Badree,13
465,K Upadhyay,12
466,AA Chavan,12
467,Rasikh Salam,12
468,T Thushara,12
469,Mujeeb Ur Rahman,12
470,DAJ Bracewell,12
471,Karanveer Singh,12
472,AR Bawne,12
473,Mustafizur Rahman,12
474,Swapnil Singh,12
475,T Kohli,11
476,RA Bawa,11
477,M Ntini,11
478,T Henderson,11
479,DNT Zoysa,11
480,X Thalaivan Sargunam,10
481,SMSM Senanayake,10
482,D du Preez,10
483,TD Paine,10
484,BB Sran,10
485,AG Murtaza,10
486,KAJ Roach,10
487,J Theron,10
488,M Jansen,9
489,M Prasidh Krishna,9
490,SM Harwood,9
491,AA Noffke,9
492,Jaskaran Singh,8
493,CJ McKay,8
494,OC McCoy,8
495,P Chopra,8
496,CK Langeveldt,8
497,JPR Scantlebury-Searles,8
498,A Nortje,8
499,TS Mills,8
500,TM Srivastava,8
501,Ravi Bishnoi,8
502,Ankit Soni,7
503,Simarjeet Singh,7
504,VS Malik,7
505,AN Ghosh,7
506,P Dubey,7
507,M Theekshana,7
508,I Malhotra,7
509,Pankaj Singh,7
510,IS Sodhi,7
511,RK Bhui,7
512,UA Birla,7
513,SS Shaikh,6
514,SB Joshi,6
515,DM Bravo,6
516,Mukesh Choudhary,6
517,PSP Handscomb,6
518,BA Bhatt,6
519,B Laughlin,5
520,Shivam Sharma,5
521,SJ Srivastava,5
522,Aman Hakim Khan,5
523,P Awana,5
524,KMDN Kulasekara,5
525,A Zampa,5
526,VG Arora,5
527,B Stanlake,5
528,KS Sharma,4
529,GD McGrath,4
530,CRD Fernando,4
531,A Dananjaya,4
532,PN Mankad,4
533,A Uniyal,4
534,RS Sodhi,4
535,Umran Malik,4
536,A Tomar,4
537,DP Nannes,4
538,FH Edwards,4
539,VRV Singh,4
540,A Chandila,4
541,AJ Turner,3
542,BAW Mendis,3
543,K Kartikeya,3
544,JE Taylor,3
545,R Ninan,3
546,Kamran Khan,3
547,GC Viljoen,3
548,D Kalyankrishna,3
549,Younis Khan,3
550,Mohammad Asif,3
551,S Tyagi,3
552,T Natarajan,3
553,Shoaib Akhtar,2
554,Mashrafe Mortaza,2
555,Harshit Rana,2
556,VS Yeligati,2
557,RS Gavaskar,2
558,A Singh,2
559,Mohammad Ashraful,2
560,T Stubbs,2
561,T Shamsi,2
562,KP Appanna,2
563,S Randiv,2
564,SB Wagh,2
565,RG More,2
566,H Das,2
567,Fazalhaq Farooqi,2
568,GHS Garton,2
569,M de Lange,1
570,PM Sarvesh Kumar,1
571,KK Ahmed,1
572,HF Gurney,1
573,Shoaib Ahmed,1
574,MA Wood,1
575,P Parameswaran,1
576,DP Vijaykumar,1
577,DJ Muthuswami,1
578,BE Hendricks,1
579,NJ Rimmington,1
580,LE Plunkett,1
581,SE Bond,1
582,Y Prithvi Raj,0
583,R Sanjay Yadav,0
584,IC Pandey,0
585,JL Denly,0
586,K Yadav,0
587,V Pratap Singh,0
588,YA Abdulla,0
589,RR Bhatkal,0
590,RP Meredith,0
591,L Ablish,0
592,ND Doshi,0
593,S Ladda,0
594,S Kaushik,0
595,S Lamichhane,0
596,KR Sen,0
597,AS Roy,0
598,Sunny Gupta,0
599,C Nanda,0
600,SS Cottrell,0
601,Abdur Razzak,0
602,Akash Deep,0
603,U Kaul,0
604,Yash Dayal,0
